id,name,category,phase,description,procedure_file
E001,Abductive Reasoning,foundation,any,Generate hypotheses from observations,data/method-procedures/E001_Abductive_Reasoning.md
E002,Counterfactual Thinking,foundation,any,Identify causal factors and leverage points,data/method-procedures/E002_Counterfactual_Thinking.md
E003,Minimal Assertions,foundation,any,Compress knowledge to actionable principles,data/method-procedures/E003_Minimal_Assertions.md
E004,Boundary Analysis,foundation,any,Find limits where things stop working,data/method-procedures/E004_Boundary_Analysis.md
E005,Causal Models,foundation,any,Map influence relationships,data/method-procedures/E005_Causal_Models.md
E006,Falsification,foundation,any,Test beliefs by trying to disprove them,data/method-procedures/E006_Falsification.md
E007,Information Questions,foundation,any,Identify highest-value questions,data/method-procedures/E007_Information_Questions.md
E008,Failure Reason Exploration,fear,step-00,Transform fear into structured risk map,data/method-procedures/E008_Failure_Reason_Exploration.md
E009,Reverse Abduction,fear,step-00,Discover paths by assuming success,data/method-procedures/E009_Reverse_Abduction.md
E010,Cognitive MVP,fear,step-04,Find smallest action that teaches something,data/method-procedures/E010_Cognitive_MVP.md
E011,Control vs Influence Analysis,fear,step-00,Separate controllable from uncontrollable,data/method-procedures/E011_Control_Influence_Analysis.md
E012,Fundamental Block Analysis,fear,step-00,Find true walls vs false walls,data/method-procedures/E012_Fundamental_Block_Analysis.md
E013,Contrast Exploration,fear,step-00,Learn from others successes and failures,data/method-procedures/E013_Contrast_Exploration.md
E014,Growth Test,fear,step-04,Filter decisions by growth potential,data/method-procedures/E014_Growth_Test.md
M001,Dimension Discovery,map,step-02,Identify axes of choice,data/method-procedures/M001_Dimension_Discovery.md
M002,Option Enumeration,map,step-02,List ALL options per dimension,data/method-procedures/M002_Option_Enumeration.md
M003,Constraint Mapping,map,step-02,Hard/soft constraints,data/method-procedures/M003_Constraint_Mapping.md
M011,Consequence Analysis,illuminate,step-03,Map GAINS/COSTS/OPENS/CLOSES,data/method-procedures/M011_Consequence_Analysis.md
M012,Reversibility Check,illuminate,step-03,Can this be undone?,data/method-procedures/M012_Reversibility_Check.md
M013,Dependency Analysis,illuminate,step-03,What must be decided first?,data/method-procedures/M013_Dependency_Analysis.md
M014,Stakeholder Impact,illuminate,step-03,Who is affected?,
M015,Future Optionality,illuminate,step-03,Preserve vs foreclose possibilities,
M016,Integration Points,illuminate,step-03,Hidden complexity at touchpoints,
M017,Resource Trade-off,illuminate,step-03,Hidden costs and resource needs,
M018,Opportunity Cost,illuminate,step-03,What you give up,
M021,Premortem,challenge,step-04,Imagine failure trace causes,data/method-procedures/M021_Premortem.md
M022,Black Swan Hunt,challenge,step-04,Low-probability high-impact events,data/method-procedures/M022_Black_Swan_Hunt.md
M023,Assumption Stress Test,challenge,step-04,Break assumptions one by one,data/method-procedures/M023_Assumption_Stress_Test.md
M024,Regret Minimization,challenge,step-04,What would future you regret?,
M025,Devil's Advocate,challenge,step-04,Argue against favored option,
M026,Red Team Options,challenge,step-04,How would competitor exploit this?,
M031,Option Clustering,synthesize,step-05,Group similar strategies,
M032,Decision Sequencing,synthesize,step-05,What first what can wait,
M033,Real Options Identification,synthesize,step-05,Delay while preserving optionality,
M034,Information Value Analysis,synthesize,step-05,Most uncertainty-reducing information,
M035,Decision Criteria Extraction,synthesize,step-05,Surface implicit criteria,
M036,Path Dependency Mapping,synthesize,step-05,Early choices constrain later ones,
M041,Trade-off Presentation,converge,step-06,Present without recommendation,
M042,Uncertainty Documentation,converge,step-06,What remains unknown,
M043,Experiment Design,converge,step-06,Small experiments before committing,
M044,Decision Record,converge,step-06,Context rationale review triggers,
M051,Archetype Check,meta,any,Known decision traps,
M052,Coverage Assessment,meta,any,Is exploration sufficient?,
M053,Abstraction Level Check,meta,any,Prevent scope creep,
M054,Cynefin Reassessment,meta,any,Re-evaluate problem type,
